source,patent_id,publication_number,title,abstract,assignee,inventors,publication_date,filing_date,country,source_url,keywords,candidate_application_areas,ipc_codes,cpc_codes,claims_excerpt,patent_family,citation_count
TURKPATENT,TR2022021389A1,TR2022021389A1,Textile electrode and conductive bus collecting on-skin data,"The invention relates to a textile-based on-skin data-collection electrode, a conductive data transmission path, and an IoT system integration system. It is suitable for clothing, sports, home textiles, automotive, aerospace technologies, Internet of Things, AR/VR, mobility, smart city systems, gaming technologies, virtual universes, defense industry, and manufacturing fields where occupational health and safety are key considerations.",Aydiner Merve,Aydiner Merve,2024-07-22,2022-12-29,TR,https://patents.google.com/patent/TR2022021389A1/en,textile electrode; conductive bus; on-skin data; IoT integration; wearable biosensing,,,,,,
USPTO,US8214008B2,US8214008B2,Textile-based electrode,"Textile-based electrodes include a fabric portion having stretch-recovery non-conductive yarns and an electrically conductive region having stretch-recovery electrically conductive yarn filaments. When incorporated into a garment, the electrodes can monitor biophysical characteristics such as heart rate.",,Qaizar N. Hassonjee; Juan Cera; Robert-Michael Bartecki; Thomas A. Micka; Claudia Schultze; Stacey B. Burr; Eleni Karayianni,2012-07-03,,US,https://patents.google.com/patent/US8214008B2/en,textile electrode; conductive yarn; garment monitoring; heart rate; biophysical sensing,,,,,,
USPTO,US20110259638A1,US20110259638A1,Textile-based electrodes incorporating graduated patterns,"The public patent page describes textile-based electrodes with electrically conductive regions, fabric portions, and graduated patterns. The electrodes are designed for use in wearable articles and monitoring systems.",,Keith Sherrill; Kimberly Scheffler,,,US,https://patents.google.com/patent/US20110259638A1/en,textile electrode; graduated pattern; conductive textile; wearable monitoring,,,,,,
USPTO,US8569189B2,US8569189B2,Electronic textile,The invention relates to an electronic textile with a textile substrate having a substrate electrode and an electronic component having a component electrode. The component electrode is in electrically conductive contact with the substrate electrode through a coupling layer.,,,,,US,https://patents.google.com/patent/US8569189B2,electronic textile; substrate electrode; conductive yarn; textile electronics,,,,,,
USPTO,US9839123B2,US9839123B2,Smart textile product and method for fabricating the same,The public patent page describes smart textile products comprising electronic or optoelectronic components attached to textile fabric and electrically connected to electrically conductive threads integrated with the textile fabric.,,Bjorn Van Keymeulen,,,US,https://patents.google.com/patent/US9839123B2/en,smart textile; conductive threads; textile electronics; electronic components,,,,,,
USPTO,US12075564B2,US12075564B2,Electronic textiles and methods for fabrication thereof,Electronic textiles and fabrication methods are described in which nanoparticles of a conductive material are sprayed along a conductive path into a fabric material so as to penetrate into the fabric.,,Chi Hwan Lee; Laurent Couetil; Tae Hoo Chang; Semih Akin; Martin Byung-Guk Jun,2024-08-27,2022-08-29,US,https://patents.google.com/patent/US12075564B2/en,e-textile; conductive nanoparticles; fabric material; wearable sensing,,,,,,
USPTO,US20250215639A1,US20250215639A1,Electronic textiles and systems and processes associated therewith,"Electronic textiles and associated systems and processes are described. A spray system forms electrically conductive polymers in-situ on fabric substrates, producing electronic textiles for wearable electronic components such as sensors and luminescent strips.",,,2025-07-03,2024-12-23,US,https://patents.google.com/patent/US20250215639A1/en,electronic textile; conductive polymer; fabric substrate; wearable sensor,,,,,,
USPTO,US11065164B1,US11065164B1,Smart bandage for electrochemical monitoring and sensing using fabric-integrated data modulation,Systems and methods for a low-cost smart textile electronic useful for wound healing assessment are described. The system uses electrochemical sensing and a textile-based voltage-controlled oscillator for fabric-integrated data modulation.,,,,,US,https://patents.google.com/patent/US11065164,smart bandage; textile electronics; electrochemical sensing; wound monitoring,,,,,,
USPTO,US20180361704A1,US20180361704A1,"Adaptive smart textiles, method of producing them, and applications thereof",Adaptive smart textiles that facilitate reduced energy consumption are described. A fabric arrangement includes fabric panes and an insert layer that changes an intra-layer gap responsive to ambient temperature.,,,,,US,https://patents.google.com/patent/US20180361704A1/en,adaptive smart textile; fabric layers; thermal response; wearable textile,,,,,,
USPTO,US9733136B2,US9733136B2,Textile pressure sensor,A textile pressure sensor for capacitive measurement of pressure distribution is described. Conductive regions of knitted fabric structures form capacitors with opposite conductive regions separated by a dielectric intermediate element.,Individual,Peter Seitz,2017-08-15,2013-02-15,US,https://patents.google.com/patent/US9733136B2/en,textile pressure sensor; knitted fabric; conductive yarn; capacitive sensing,,,,,,
USPTO,US11344230B2,US11344230B2,Wearable technology with sensors integrated into clothing fibers,"Articles of clothing allow monitoring of analytes in human sweat. The sensor system is completely integrated in textile, with sensing parts made of textile fibers and an electrochemical sensor woven into the textile.",,Nicola Coppedè; Andrea Zappettini,,,US,https://patents.google.com/patent/US11344230B2/en,textile sensor; clothing fibers; sweat analysis; electrochemical sensor; wearable biosensor,,,,,,
USPTO,US20210085237A1,US20210085237A1,Textile Sensor Assemblies,"The public patent page describes textile sensor assemblies with first and second textile assemblies. The textile assemblies may include knitted, woven, braided, or knotted structures and conductive/non-conductive textile materials.",,,,,US,https://patents.google.com/patent/US20210085237A1/en,textile sensor assembly; knitted textile; woven textile; wearable sensing,,,,,,
USPTO,US10376155B2,US10376155B2,Method and system for generating physiological signals with fabric capacitive sensors,The public patent page describes a method and system for generating physiological signals using fabric capacitive sensors. A conductive cloth capacitive sensor detects changes associated with a human body.,,Chang-Ming Yang; Tzulin Yang; Ching Wen Yang,,,US,https://patents.google.com/patent/US10376155B2/en,fabric capacitive sensor; physiological signals; conductive cloth; wearable monitoring,,,,,,
USPTO,US20250146892A1,US20250146892A1,MXene based sensor devices,"The public patent page describes sensors comprising MXene-coated fibers and MXene-coated yarns. The disclosure is directed to fabrics and clothing containing functional textile devices for sensing, energy storage, actuation, and communication.",,,,,US,https://patents.google.com/patent/US20250146892A1/en,mxene-coated fibers; mxene yarns; textile sensor; functional fabric,,,,,,
USPTO,US10701801B2,US10701801B2,Multifunctional textile sensor,"A multifunctional textile sensor includes a knitted self-capacitive sensor, printed conductive tracks, knitted conductive yarns, printed self-capacitive sensors, and a printed electroluminescent device.",,Eduardo Jorge Osorio Dinis; Manuel Joaquim Goncalves Pinheiro; Carla Marina Araujo Pires; Joao Luis Neto Guimaraes Pereira; Ines Rocha e Silva Valente de Matos,2020-06-30,2016-04-11,US,https://patents.google.com/patent/US10701801B2/en,multifunctional textile sensor; conductive yarn; printed sensor; electroluminescent textile,,,,,,
USPTO,US9588625B2,US9588625B2,Interactive textiles,A flexible object includes an interactive textile with a grid of conductive thread woven into the textile and a textile controller configured to detect touch input by detecting capacitance changes between crossing conductive threads.,Google Inc.,,2017-03-07,,US,https://patents.google.com/patent/US9588625,interactive textile; conductive thread; capacitive touch; e-textile interface,,,,,,
USPTO,US20180087191A1,US20180087191A1,"Conductive yarn/sewing thread, smart fabric, and garment made therefrom",A conductive composite yarn or sewing thread is described for producing conductive patterns in fabric. The conductive thread can be used to make smart fabrics and garments for monitoring or tracking applications.,,James O Threlkeld,2018-03-29,2016-09-27,US,https://patents.google.com/patent/US20180087191A1/en,conductive yarn; smart fabric; smart garment; conductive sewing thread,,,,,,
USPTO,US20160000374A1,US20160000374A1,Smart knitted fabrics,"Knitting machines intermesh conductive yarns into knitted fabrics. Conductive and non-conductive yarns are integrated directly into knit structures to produce garments with sensors, antennas, RFID tags, or other electronic structures.",,Kapil R. Dandekar; Genevieve Dion; Adam K. Fontecchio; Timothy P. Kurzweg; Damiano Patron; Owen Montgomery,2016-01-07,,US,https://patents.google.com/patent/US20160000374A1/en,smart knitted fabric; conductive yarn; smart garment; RFID textile; textile sensor,,,,,,
USPTO,US20190328052A1,US20190328052A1,Smart garment,"A smart garment includes a smart garment body, a control module, and a sensing module. The garment can obtain sensed data from a wearer and from the external environment, and includes signaling yarns and a touch-control textile.",Intelligence Textile Technology Co Ltd,Chen-Hsiang Lin,2019-10-31,2018-07-25,US,https://patents.google.com/patent/US20190328052A1/en,smart garment; signaling yarn; touch control textile; wearable sensing,,,,,,
USPTO,US10876229B2,US10876229B2,Conductive yarn structure for interactive textiles,"A conductive yarn structure for interactive textiles is described. Conductive yarns may be woven into a textile to form a capacitive touch sensor, with conductive filaments configured to withstand weaving, laundry cycles, and wear.",,Shiho Fukuhara,,,US,https://patents.google.com/patent/US10876229B2,conductive yarn; interactive textile; capacitive touch; washable e-textile,,,,,,
USPTO,US11751611B2,US11751611B2,Knitted electrochemical capacitors and heated fabrics,"The patent describes a textile comprising conductive yarns knitted to form a current collector and electrode in an intarsia knitted pattern, producing a supercapacitor integrated into fabric and usable with heated fabrics.",,,,,US,https://patents.google.com/patent/US11751611B2/en,knitted capacitor; conductive yarn; heated fabric; textile energy storage,,,,,,
EPO,EP1605240A1,EP1605240A1,Textile pressure sensor,A textile pressure sensor has a flexible design adaptable to different load shapes and uses a sandwich construction with electrodes on each side of a central compressible layer. Conducting fabric or conductive thread can form electrodes.,Eth Zuerich Eth Transfer,Jan Meyer; Gerhard Tröster; Tünde Kirstein,2005-12-14,2004-06-09,EP,https://patents.google.com/patent/EP1605240A1/en,textile pressure sensor; conductive fabric; flexible electrodes; capacitive sensing,,,,,,
EPO,EP1756538A1,EP1756538A1,Textile capacitive pressure sensor,"The public patent page describes a textile capacitive pressure sensor for pressure sensing applications, including a sensor built with textile electrodes and an elastic material for pressure-responsive capacitance measurement.",Eth Zuerich Eth Transfer,Tünde Kirstein; Jan Meyer; Gerhard Tröster,2007-02-28,2005-05-23,EP,https://patents.google.com/patent/EP1756538A1/de,textile capacitive sensor; pressure sensing; textile electrodes; conductive fabric,,,,,,
EPO,EP2815213B1,EP2815213B1,Textile pressure sensor,A textile pressure sensor for capacitive measurement of pressure distribution uses conductive knitted fabric structures separated by a compressible dielectric intermediate element so overlapping conductive regions form capacitors.,,Peter Seitz,,,EP,https://patents.google.com/patent/EP2815213B1/en,textile pressure sensor; knitted fabric; conductive regions; capacitive pressure,,,,,,
EPO,EP3171146A1,EP3171146A1,Sandwich-like pressure sensitive sensor array,A sandwich-like pressure sensitive sensor array includes electrically insulating fiber carriers with electrically conducting fibers arranged in an orthogonal row/column pattern. The structure measures pressure through changes in electrical pathways.,Eidgenoessische Materialpruefungs und Forschungsanstalt,Frank Clemens; Mark Melnykowycz,2017-05-24,2015-11-17,EP,https://patents.google.com/patent/EP3171146A1/fr,pressure sensor array; conducting fibers; fiber carrier; piezoresistive textile,,,,,,
EPO,EP3560418A1,EP3560418A1,Smart garment,"A smart garment includes a garment body, control module, and sensing module. The garment body includes signaling yarns and a touch-control textile that can collect wearer and environmental sensed data.",Intelligence Textile Technology Co Ltd,Chen-Hsiang Lin,2019-10-30,2019-04-26,EP,https://patents.google.com/patent/EP3560418A1/en,smart garment; signaling yarn; touch control textile; wearable sensing,,,,,,
EPO,EP3749124B1,EP3749124B1,E-textiles fabricated using particle-free conductive inks,"The public patent page describes e-textiles printed with conductive traces or patterns using particle-free conductive inks. The conductive patterns can form sensors, electrodes, circuits, antennas, heaters, switches, batteries, or supercapacitors.",,,,,EP,https://patents.google.com/patent/EP3749124B1/en,e-textile; conductive ink; printed textile; wearable sensors; smart garment,,,,,,
EPO,EP3735173B1,EP3735173B1,"Vêtement porté tubulaire, multifonctionnel",The public patent page describes a multi-functional tubular worn garment in which electrically conductive thread is incorporated as sensors and conductive pathways. Conductive thread may be inter-knit or woven with textile-based threads.,,,,,EP,https://patents.google.com/patent/EP3735173B1/fr,conductive thread; tubular garment; textile sensors; conductive pathways,,,,,,
EPO,EP3740851B1,EP3740851B1,Conductive fibers with custom placement conformal to embroidered patterns,"The public patent page describes interactive textiles that include conductive fibers. Conductive threads can be incorporated into an interactive textile to form capacitive touch sensors, strain sensors, or visual interfaces.",,,,,EP,https://patents.google.com/patent/EP3740851B1/en,conductive fibers; embroidered pattern; interactive textile; capacitive textile sensor,,,,,,
EPO,EP3033448A1,EP3033448A1,Method for making electrically conductive textiles and textile sensor,"The textile itself acts as a sensor. The public patent page describes textile sensors with optimized contact resistance for measuring tensile force, compressive force, movement, temperature, cardiac monitoring, EMG monitoring, and compression garments.",Footfalls And Heartbeats (UK) Ltd,Simon Adair McMaster,,,EP,https://patents.google.com/patent/EP3033448A1/en,electrically conductive textile; textile sensor; conductive yarn; physiological monitoring,,,,,,
EPO,EP4111945A1,EP4111945A1,Dry biopotential electrode with perforations,"The public patent page states that the invention relates to a textile electrode, a textile product comprising a textile electrode, and a method of manufacturing a textile electrode.",,,,,EP,https://patents.google.com/patent/EP4111945A1/en,textile electrode; dry biopotential electrode; textile product; wearable biosignal,,,,,,
EPO,EP0883201A1,EP0883201A1,Textile material suitable for use as an electrode support for a battery,"The public patent page describes textile material suitable for use as an electrode support for a battery, with textile product, weaving, fibers, and nickel appearing as key concepts.",,Guy Leichle,,,EP,https://patents.google.com/patent/EP0883201A1/en,textile electrode support; battery textile; conductive fibers; energy textile,,,,,,
EPO,EP3551791B1,EP3551791B1,Fabric for electromagnetic shielding and thread for manufacture thereof,The public patent page lists a fabric for electromagnetic shielding and a thread for manufacture thereof. The family includes fabric and thread structures relevant to conductive textile shielding.,,,,,EP,https://patents.google.com/patent/EP3551791B1/en,shielding fabric; conductive thread; electromagnetic shielding; technical textile,,,,,,
EPO,EP2118349B1,EP2118349B1,"Electrically conductive, elastic compound thread, particularly for RFID textile labels, the use thereof, and the production of a woven fabric, knitted fabric, or meshwork therewith","The public patent listing identifies an electrically conductive elastic compound thread for RFID textile labels and production of woven fabric, knitted fabric, or meshwork using the conductive thread.",,,,,EP,https://patents.google.com/patent/EP2118349B1/en,conductive elastic thread; RFID textile; knitted fabric; smart label,,,,,,
EPO,EP2040053A4,EP2040053A4,Torsion and/or tension and/or pressure textile sensor,"The public patent page identifies a torsion, tension, and pressure textile sensor. The record is relevant to textile-based sensing of mechanical deformation.",,,,,EP,https://patents.google.com/patent/EP2040053A4/en,textile sensor; tension sensing; pressure sensing; deformation sensing,,,,,,
EPO,EP3404388A1,EP3404388A1,A sensor pad,The public patent listing identifies a sensor pad in a textile pressure-sensing context. It is cited with pressure sensor and pressure-sensitive textile technologies.,Impact Tech Labs AG,,2018-11-21,2017-05-19,EP,https://patents.google.com/patent/EP3404388A1/en,sensor pad; textile pressure sensor; wearable sensing; pressure detection,,,,,,
EPO,EP3799558A4,EP3799558A4,Wearable textile product used in home breast cancer diagnosis,The public patent family identifies a wearable textile product used in home breast cancer diagnosis. The corresponding Turkish public record describes a wearable textile product for diagnostic use.,,,,,EP,https://patents.google.com/patent/EP3799558A4/en,wearable textile; diagnostic textile; smart garment; textile health monitoring,,,,,,
TURKPATENT,TR2021010813A2,TR2021010813A2,A self-cleaning conductive fabric system,The invention relates to a self-cleaning conductive fabric system comprising at least one fabric integrated with conductive material and a battery connected to the conductive fabric to operate the system. It addresses cleaning of wearable technology clothing.,Tc Marmara Üniversitesi,Yetgin Ayhan,2021-08-23,2021-02-07,TR,https://patents.google.com/patent/TR2021010813A2/en,conductive fabric; self-cleaning textile; wearable technology; smart textile,,,,,,
TURKPATENT,TR2022013091A2,TR2022013091A2,Biyouyumlu süper kapasitör ve bu kapasitörün üretim yöntemi,The invention relates to a biocompatible supercapacitor and its production method. The public page describes use of a PEDOT-modified carbon felt electrode and identifies wearable electronic devices as a target application.,İstanbul Üniversitesi Cerrahpaşa Rektörlüğü; Yildiz Teknik Üniversitesi Döner Sermaye İşletme Müd,Ah N Yucel; Bel Yazar Aydoğan S; Dem Yolacan C; H Be R Arvas Mel; Ra Arvas Bu,2024-02-21,2022-08-18,TR,https://patents.google.com/patent/TR2022013091A2/tr,biocompatible supercapacitor; carbon felt electrode; wearable electronics; textile energy storage,,,,,,
TURKPATENT,TR2021007842A2,TR2021007842A2,Respiratory track diseases diagnosis and monitoring system,"The invention includes a wearable sensor module for acoustic and bioimpedance-based measurements and a wearable cloth electrode array connected to the module for ECG and bioimpedance measurements, with flexible band and fabric components worn on the chest.",,,2022-04-21,,TR,https://patents.google.com/patent/TR2021007842A2/en,wearable sensor module; cloth electrode array; bioimpedance; respiratory monitoring,,,,,,
USPTO,US9125625B2,US9125625B2,Textile-based printable electrodes for electrochemical sensing,"Techniques and systems are disclosed for implementing textile-based screen-printed amperometric or potentiometric sensors. The chemical sensor can include carbon based electrodes to detect at least one of NADH, hydrogen peroxide, potassium ferrocyanide, TNT or DNT, in liquid or vapor phase. In one application, underwater presence of chemicals such as heavy metals and explosives is detected using the textile-based sensors.",University of California San Diego UCSD,Joseph Wang; Joshua Ray Windmiller,2015-09-08,2011-05-18,US,https://patents.google.com/patent/US9125625B2/en,electrode; sensor; textile; chemical sensor; wearable,Healthcare monitoring; Textile electrodes; Flexible sensors; Sports and fitness wearables; Military monitoring; Safety clothing,,A61B; A61B5/00; A61B5/68; A61B5/6801; A61B5/6802; A61B5/0002; A61B5/02; A61B5/0205; A61B5/021; A61B5/024; A61B5/02444; A61B5/0245,a substrate comprising a wearable material;,45098582,24
USPTO,US6341504B1,US6341504B1,Composite elastic and wire fabric for physiological monitoring apparel,A fabric for use in apparel of the type used for physiological monitoring of prescribed body functions has one or more elongated bands of elastic material which is stretchable in the longitudinal direction. Each such elastic band includes at least one conductive wire affixed to or formed therein in a curved pattern. A garment and a system of the type used for physiological monitoring of prescribed body functions includes such a fabric and a monitoring unit monitoring electrical parameters of the included conductive wires.,VivoMetrics Inc,Cynthia L Istook,2002-01-29,2001-01-31,US,https://patents.google.com/patent/US6341504B1/en,fabric; wire; elastic; band; garment,Healthcare monitoring; Smart garments; Sports and fitness wearables; Flexible sensors,,A61B; A61B5/00; A61B5/103; A61B5/11; A61B5/113; A61B5/1135; A61B5/0002; A61B5/68; A61B5/6801; A61B5/6802; A61B5/6804; A61B5/6805,1. A composite fabric construction for use in apparel of the type used for monitoring physiological parameters comprising:,25100935,174
USPTO,US7025596B2,US7025596B2,Method and apparatus for solder-less attachment of an electronic device to a textile circuit,"A method and apparatus form electrical connections between electronic circuits and conductive threads ( 102, 104, 106, 108 ) that are interwoven into textile material ( 130 ). Electronic circuits ( 128 ), such as semiconductor dies, are connected to a carrier ( 132 ) and electrical connections ( 136 ) are made to conductive connection areas ( 110, 112, 114, 116 ) on the carrier ( 132 ). Conductive stitching ( 202, 204, 206, 208 ) provides electrical contacts for both the conductive connection areas ( 110, 112, 114, 116 ) on the carrier ( 132 ) and the conductive threads ( 102, 104, 106, 108 ) that are interwoven into the textile material ( 130 ). Optionally, a thin, flexible substrate material ( 132 ) is perforated during the stitching process.",Motorola Inc,James A. Zollo; Bonnie J. Bachman; Alan R. Beatty; Stephen O. Bozzone; Nitin B. Desai; Ronald J. Kelley; Rami C. Levy,2006-04-11,2004-06-14,US,https://patents.google.com/patent/US7025596B2/en,conductive; carrier; textile material; electrical; connection,Smart garments; Textile communication interfaces; Human-computer interaction textiles,,H05K; H05K1/00; H05K1/02; H05K1/03; H05K1/038,a carrier that is able to be sewn through by stitching;,35461104,13
USPTO,US8140143B2,US8140143B2,Washable wearable biosensor,"A washable, wearable biosensor that can gather sensor data, communicate the sensed data by wireless protocols, and permits the analysis of sensed data in real-time as a person goes about their normal lifestyle activities. The biosensor can be worn in multiple positions, can be put on or removed quickly without having to apply or remove gels and adhesives, and provides a snug, comfortable fit to gather data with minimal motion artifacts. The textile, wearable device can support integrated photoplethysmography, skin conductance, motion, and temperature sensors in a small wearable package. The supported sensors may be coupled to utilization devices by channel-sharing wireless protocols to enable the transmission of data from multiple users and multiple sensors (e.g. both sides of body, wrists or hands and feet, or multiple people). An on-board processor, or the receiving utilization device, can map patterns of the physiological and motion data to signals or alerts such as a likely seizure, drug craving, or other states that the wearer may exhibit or experience. The sensor data may be sent by wireless transmission and received by a mobile phone or other personal digital device, a computer, a favorite toy, or another wearable device. The sensors may include multiple photoplethysmographs and/or one or more EDAs which perform a time-domain measurement of skin conductance.",Massachusetts Institute of Technology,Rosalind W. Picard; Clayton J. Williams; Richard Ribon Fletcher; Hoda Eydgahi; Ming-Zher Poh; Oliver Orion Wilder-Smith; Kyunghee KIM; Kelly Dobson; Jackie Chia-Hsun Lee,2012-03-20,2009-04-16,US,https://patents.google.com/patent/US8140143B2/en,physiological data; data; sensors; set forth; garment,Healthcare monitoring; Smart garments; Flexible sensors; Rehabilitation,,A61B; A61B5/00; A61B5/0002; A61B5/0015; A61B5/0022; A61B5/05; A61B5/053; A61B5/0531; A61B5/68; A61B5/6801; A61B5/6802; A61B5/6804,a wearable washable breathable garment adapted to be worn in multiple positions on the human body;,42981501,130
USPTO,US9032762B2,US9032762B2,Fully integrated three-dimensional textile electrodes,"There is described herein a knitting technique for creating a garment having one or more 3D textile electrodes integrated therein. The knitting technique involves knitting the item with integrated electrodes and transmission channels in one single step. The electrode is knit using conducting thread while a base fabric is knit using non-conducting thread. The electrode is knit on a first needle bed and the base fabric is knit on a second needle bed opposite to and facing the first needle bed, the two needle beds being separated by a few millimeters. During the knitting process, the surface knit on the first needle bed and the surface knit on the second needle bed may be linked using an isolating thread network that is simply deposited, without forming a mesh, on the fabric, in order to provide the three-dimensional effect.",GROUPE CTT Inc,Aldjia BEGRICHE; Olivier Guy Robert Vermeersch; Borislav Lyubomirov TSVETANOV; Dominic LACHAPELLE,2015-05-19,2011-12-07,US,https://patents.google.com/patent/US9032762B2/en,thread; electrode; isolating; knitting; garment,Healthcare monitoring; Smart garments; Textile electrodes,,D04B; D04B1/00; D04B1/22; A41D; A41D1/00; A41D1/002; A41D1/005; A41D2500/00; A41D2500/10; D04B1/14; D10B; D10B2403/00,knitting at least one tubular form;,46197847,20
